date,tournament,home_team,away_team,home_goals,away_goals,goal_diff,home_win,overall_diff,age_diff,balance_diff,player_pool_diff,rank_advantage,points_diff
2005-06-18,FIFA World Cup qualification,Kenya,Morocco,0,0,0,0,-2.5109890109890216,1.802197802197803,3.1729135132130573,-71.0,-94.0,-471.71000000000004
2005-06-18,FIFA World Cup qualification,Senegal,Togo,2,2,0,0,-2.697674418604649,-2.953488372093023,2.675610152796049,121.0,101.0,464.6399999999999
2005-06-18,FIFA World Cup qualification,South Africa,Ghana,0,2,-2,0,0.5769785769785756,2.496725496725496,-1.2293608772724642,-40.0,7.0,33.90000000000009
2005-06-19,FIFA World Cup qualification,Cameroon,Libya,1,0,1,1,0.15116279069766847,0.5697674418604635,0.46464220581260207,84.0,66.0,292.74
2005-06-19,Friendly,China PR,Costa Rica,2,2,0,0,-2.055172413793116,0.9551724137931039,-0.06963723159455348,1.0,-38.0,-202.18000000000006
2005-06-19,Confederations Cup,Greece,Japan,0,1,-1,0,6.54340542187024,-2.1466646360036528,0.17135508669771315,-371.0,-36.0,-172.8599999999999
2005-06-19,Confederations Cup,Mexico,Brazil,1,0,1,1,-5.248097974822116,-2.280350301039956,0.9464051409646128,-452.0,-12.0,-150.5
2005-06-21,Confederations Cup,Australia,Tunisia,0,2,-2,0,-5.306806877930931,-2.8485149921841675,1.69447049367092,196.0,17.0,77.23000000000002
2005-06-21,Confederations Cup,Germany,Argentina,2,2,0,0,-1.864925915825836,-1.7300109080992634,0.3573274008502709,175.0,-12.0,-181.23000000000002
2005-06-22,Friendly,China PR,Costa Rica,2,0,2,1,-2.055172413793116,0.9551724137931039,-0.06963723159455348,1.0,-38.0,-202.18000000000006
2005-06-22,Confederations Cup,Greece,Mexico,0,0,0,0,3.1691043083900183,-0.5094104308390008,0.10731602520667138,-262.0,-37.0,-179.15999999999985
2005-06-22,Confederations Cup,Japan,Brazil,2,2,0,0,-8.622399088302338,-0.643096095875304,0.882366079473571,-343.0,-13.0,-156.79999999999995
2005-06-25,Confederations Cup,Germany,Brazil,2,3,-1,0,-4.994443004061893,-3.0054964998703646,1.5542267155525726,328.0,-8.0,-99.58999999999992
2005-06-26,Confederations Cup,Mexico,Argentina,1,1,0,0,-2.1185808865860594,-1.0048647092688547,-0.2504941737376889,-605.0,-16.0,-232.1400000000001
2005-06-29,Confederations Cup,Brazil,Argentina,4,1,3,1,3.1295170882360566,1.2754855917711012,-1.1968993147023017,-153.0,-4.0,-81.6400000000001
2005-06-29,Confederations Cup,Germany,Mexico,4,3,1,1,0.25365497076022336,-0.7251461988304087,0.6078215745879598,780.0,4.0,50.91000000000008
2005-07-02,Friendly,Canada,Honduras,1,2,-1,0,-5.791608391608392,-2.093706293706294,2.358626292339964,42.0,39.0,183.18000000000006
2005-07-07,Gold Cup,Canada,Costa Rica,0,1,-1,0,-5.600626959247663,-1.0539184952978076,-0.06120981117408064,26.0,9.0,24.970000000000027
2005-07-08,Gold Cup,South Africa,Mexico,2,1,1,1,1.6904401154401114,1.1501443001443015,-1.2628833923211875,-283.0,-40.0,-219.9599999999998
2005-07-09,Gold Cup,Costa Rica,Cuba,3,1,2,1,-3.3448275862068897,-1.1551724137931032,-0.383769884605754,27.0,118.0,484.7700000000001
2005-07-12,Gold Cup,Canada,Cuba,2,1,1,1,-8.945454545454552,-2.2090909090909108,-0.44497969577983465,53.0,127.0,509.7400000000001
2005-07-13,Gold Cup,Mexico,Jamaica,1,0,1,1,-0.1906156156156129,-2.6397897897897913,0.5712419208079931,323.0,42.0,233.54999999999995
2005-07-16,Gold Cup,Honduras,Costa Rica,3,2,1,1,0.1909814323607293,1.0397877984084865,-2.4198361035140445,-16.0,-30.0,-158.21000000000004
2005-07-17,Gold Cup,Mexico,Colombia,1,2,-1,0,-0.030142642642644546,-0.4607357357357351,0.13403305181747527,-232.0,-8.0,-92.21000000000004
2005-08-03,EAFF Championship,Japan,China PR,2,2,0,0,-5.32707889125799,-0.7349680170575716,1.0022619314240613,439.0,69.0,361.29999999999995
2005-08-15,Friendly,Poland,Serbia,3,2,1,1,-6.387229200597929,-0.182079828651748,1.2015555280040617,204.0,4.0,16.62999999999988
2005-08-17,Friendly,Belgium,Greece,2,0,2,1,-0.720738295318128,-0.5249849939975988,0.9567061685905065,174.0,48.0,316.49
2005-08-17,Friendly,Croatia,Brazil,1,1,0,0,-1.8219257016314998,-2.2264767026709436,2.3175635224696878,-703.0,-7.0,-84.29999999999995
2005-08-17,Friendly,Denmark,England,4,1,3,1,0.2393099046065501,0.4445299478704925,0.5965554337933678,-1284.0,-17.0,-204.74
2005-08-17,Friendly,Ecuador,Venezuela,3,1,2,1,1.474297827238999,2.2697403285638558,-0.45263106531928976,-14.0,10.0,28.980000000000018
2005-08-17,Friendly,Hungary,Argentina,1,2,-1,0,0.6936563506511675,0.1754656210614769,-1.5727704730945593,-928.0,-30.0,-348.48
2005-08-17,FIFA World Cup qualification,Mexico,Costa Rica,2,0,2,1,-4.007950191570885,-1.4170498084291197,0.9966637613205496,331.0,32.0,165.41999999999985
2005-08-17,Friendly,Morocco,Togo,0,1,-1,0,-1.3461538461538396,-3.23076923076923,2.0933621116898276,70.0,106.0,510.74
2005-08-17,Friendly,Netherlands,Germany,2,2,0,0,2.1597288676236133,-0.17465955097534192,-0.740044505760638,-711.0,6.0,72.49000000000001
2005-08-17,Friendly,Norway,Switzerland,0,2,-2,0,-0.7892871412184732,-0.028766964389280503,-1.839106792266847,100.0,-35.0,-187.6199999999999
2005-08-17,Friendly,Poland,Israel,3,2,1,1,-7.110286844708213,-1.6018793273986134,2.548678378327388,325.0,50.0,210.99
2005-08-17,Friendly,Portugal,Egypt,2,0,2,1,0.6307050408719306,-1.98841961852861,1.7823884089142208,335.0,28.0,239.09000000000015
2005-08-17,Friendly,Senegal,Ghana,0,0,0,0,1.5416418207115896,1.4653150467103941,0.181041928411541,12.0,45.0,242.08999999999992
2005-08-17,Friendly,Spain,Uruguay,2,0,2,1,0.46203185232221244,-0.9122104844554748,0.4820679402415369,866.0,8.0,122.51999999999998
2005-08-17,FIFA World Cup qualification,Tunisia,Kenya,1,0,1,1,0.9216589861751174,0.5898617511520712,-4.789438146830938,24.0,67.0,296.3299999999999
2005-08-17,Friendly,Ukraine,Serbia,2,1,1,1,-0.40279269602577017,0.6068743286788383,0.5084499144676293,-84.0,7.0,60.34999999999991
2005-08-17,Friendly,Wales,Slovenia,0,0,0,0,-4.017636022514068,-1.4731707317073166,0.15774361151164573,58.0,22.0,64.34000000000015
2005-09-03,FIFA World Cup qualification,Armenia,Netherlands,0,1,-1,0,-1.0606060606060623,2.0434565434565464,0.9661033468825444,-415.0,-90.0,-527.72
2005-09-03,FIFA World Cup qualification,Bolivia,Ecuador,1,2,-1,0,-5.046846846846847,0.27927927927927954,-1.3273140084429174,-7.0,-62.0,-271.8800000000001
2005-09-03,FIFA World Cup qualification,France,Faroe Islands,3,0,3,1,6.452965235173828,2.1349693251533743,1.5106528359192568,972.0,136.0,761.21
2005-09-03,FIFA World Cup qualification,Iceland,Croatia,1,3,-2,0,-2.9790548727713286,0.6975939068720791,-1.7337265513976936,-56.0,-59.0,-347.8299999999999
2005-09-03,FIFA World Cup qualification,Kenya,Tunisia,0,2,-2,0,-0.9216589861751174,-0.5898617511520712,4.789438146830938,-24.0,-67.0,-296.3299999999999
2005-09-03,FIFA World Cup qualification,Panama,Costa Rica,1,3,-2,0,-3.9676724137931103,-0.5323275862068968,-1.518642551070175,-13.0,14.0,32.8599999999999
2005-09-03,FIFA World Cup qualification,Paraguay,Argentina,1,0,1,1,1.9008635578583863,0.1688067883156883,-1.2102443308894593,-896.0,-61.0,-470.45000000000005
2005-09-03,FIFA World Cup qualification,Poland,Austria,3,2,1,1,-0.39474799759041446,0.7164164119497549,0.23043363059122512,71.0,-6.0,-68.02999999999997
2005-09-03,FIFA World Cup qualification,Portugal,Luxembourg,6,0,6,1,4.599455040871931,2.13658038147139,2.2961468784210197,359.0,76.0,464.70000000000005
2005-09-03,FIFA World Cup qualification,Serbia,Lithuania,2,0,2,1,6.360275689223059,0.9135338345864668,-1.2830658097995897,121.0,103.0,406.24
2005-09-03,Friendly,Slovakia,Germany,2,0,2,1,0.8491228070175509,1.4223684210526315,-0.7908941674995722,-1076.0,-31.0,-206.95000000000005
2005-09-03,Friendly,Spain,Canada,2,1,1,1,5.884610580783303,-0.07893656882861677,1.2273705784814943,964.0,37.0,341.01
2005-09-03,FIFA World Cup qualification,Switzerland,Israel,1,1,0,0,-7.338340486409159,-2.7775393419170236,4.002952592945744,221.0,63.0,341.55999999999995
2005-09-03,FIFA World Cup qualification,Turkey,Denmark,2,2,0,0,3.9038098643306967,0.7629859166120418,-1.3701051790424374,-55.0,-21.0,-132.38999999999987
2005-09-03,FIFA World Cup qualification,Wales,England,0,1,-1,0,1.17396378871765,1.0071973664521927,-0.16210818616268785,-1507.0,-26.0,-290.8599999999999
2005-09-03,FIFA World Cup qualification,Zambia,Senegal,0,1,-1,0,-4.445182724252497,-3.046511627906977,1.5079784382860781,-122.0,-73.0,-373.79999999999995
2005-09-04,FIFA World Cup qualification,Brazil,Chile,5,0,5,1,-0.00067980295565917,-1.5172052545155985,1.3103480510012773,437.0,38.0,296.1099999999999
2005-09-04,FIFA World Cup qualification,Ghana,Uganda,2,0,2,1,4.0106837606837615,-1.1688034188034173,-0.8524978282204598,113.0,31.0,138.28999999999996
2005-09-04,FIFA World Cup qualification,Uruguay,Colombia,3,2,1,1,3.7997593181416676,0.735669493022435,-0.17853788243719748,-439.0,-2.0,-14.169999999999845
2005-09-07,FIFA World Cup qualification,Cyprus,Switzerland,1,3,-2,0,-1.3737807257120593,-2.0557939914163086,-1.047382901720165,-222.0,-112.0,-517.3199999999999
2005-09-07,FIFA World Cup qualification,Denmark,Georgia,6,1,5,1,-3.658493380570576,0.04158120454968994,2.352518638036181,315.0,49.0,246.1099999999999
2005-09-07,Friendly,Germany,South Africa,4,2,2,1,-1.436785144679888,-1.8752904989747101,1.8707049669091473,1063.0,44.0,270.8699999999999
